[2025-11-17 19:51:52,035] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-17 19:51:52,112] INFO django.server: "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
[2025-11-17 19:51:55,971] INFO django.server: "GET /admin/package_center/packageentry/ HTTP/1.1" 200 13371
[2025-11-17 19:51:56,024] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-17 19:51:57,722] INFO django.server: "GET /admin/auth/group/ HTTP/1.1" 200 12358
[2025-11-17 19:51:57,770] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-17 19:52:14,538] INFO django.utils.autoreload: /home/danielferen52/smartlocker/apps/lockers/models.py changed, reloading.
[2025-11-17 19:52:15,403] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2025-11-17 19:56:00,870] INFO django.utils.autoreload: /home/danielferen52/smartlocker/apps/lockers/views.py changed, reloading.
[2025-11-17 19:56:01,652] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2025-11-17 19:56:42,648] INFO django.server: "GET /admin/auth/group/ HTTP/1.1" 200 12358
[2025-11-17 19:56:42,684] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-17 19:56:45,196] INFO django.server: "GET /admin/lockers/locker/ HTTP/1.1" 200 12024
[2025-11-17 19:56:45,242] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-17 19:56:47,956] INFO django.server: "GET /admin/lockers/locker/add/ HTTP/1.1" 200 15985
[2025-11-17 19:56:48,010] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-17 20:02:20,909] INFO django.server: "POST /admin/lockers/locker/add/ HTTP/1.1" 302 0
[2025-11-17 20:02:20,966] INFO django.server: "GET /admin/lockers/locker/add/ HTTP/1.1" 200 16229
[2025-11-17 20:02:21,065] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-17 20:02:21,141] INFO django.server: "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[2025-11-17 20:02:31,958] INFO django.server: "POST /admin/lockers/locker/add/ HTTP/1.1" 302 0
[2025-11-17 20:02:32,012] INFO django.server: "GET /admin/lockers/locker/add/ HTTP/1.1" 200 16229
[2025-11-17 20:02:32,110] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-17 20:02:47,103] INFO django.server: "POST /admin/lockers/locker/add/ HTTP/1.1" 302 0
[2025-11-17 20:02:47,165] INFO django.server: "GET /admin/lockers/locker/ HTTP/1.1" 200 14101
[2025-11-17 20:02:47,272] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-17 20:02:49,062] INFO django.server: "GET /admin/lockers/locker/3/change/ HTTP/1.1" 200 16246
[2025-11-17 20:02:49,116] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-17 20:02:52,318] INFO django.server: "POST /admin/lockers/locker/3/change/ HTTP/1.1" 302 0
[2025-11-17 20:02:52,368] INFO django.server: "GET /admin/lockers/locker/ HTTP/1.1" 200 14103
[2025-11-17 20:02:52,483] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-17 20:02:53,734] INFO django.server: "GET /admin/lockers/locker/2/change/ HTTP/1.1" 200 16246
[2025-11-17 20:02:53,794] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-17 20:02:58,447] INFO django.server: "POST /admin/lockers/locker/2/change/ HTTP/1.1" 302 0
[2025-11-17 20:02:58,501] INFO django.server: "GET /admin/lockers/locker/ HTTP/1.1" 200 14103
[2025-11-17 20:02:58,624] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-17 20:02:59,888] INFO django.server: "GET /admin/lockers/locker/1/change/ HTTP/1.1" 200 16245
[2025-11-17 20:02:59,948] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-17 20:03:03,151] INFO django.server: "POST /admin/lockers/locker/1/change/ HTTP/1.1" 302 0
[2025-11-17 20:03:03,202] INFO django.server: "GET /admin/lockers/locker/ HTTP/1.1" 200 14103
[2025-11-17 20:03:03,320] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-17 22:30:58,952] WARNING django.request: Forbidden: /api/v1/marketplace/products/17/
[2025-11-17 22:31:43,206] WARNING django.request: Forbidden: /api/v1/marketplace/products/17/
[2025-11-17 22:33:23,076] WARNING django.request: Forbidden: /api/v1/marketplace/products/17/
[2025-11-17 22:33:24,468] INFO apps.notifications.tasks: Notification queued for users [19]: Payment Proof Uploaded
[2025-11-17 22:33:24,476] WARNING django.request: Forbidden: /api/v1/marketplace/transactions/1/approve/
[2025-11-17 22:33:24,479] INFO apps.notifications.tasks: Notification queued for users [21]: Order Approved
